sentence_index,word_count,accuracy(1=correct),reverse_study_time/sec,user_id_from_FOWARD_study,r_user_id_from_REVERSE_study,perspective_ambiguity,block_ambiguity
1151,20,1,27.538946,207,330,agent,1
706,8,1,2.822438,99,143,neither,1
1204,7,0,5.310606,77,165,agent,1
591,16,0,17.733161,36,16,ambiguous,2
1200,8,0,5.92294,77,165,ambiguous,2
1275,10,1,9.117204,71,99,neither,1
823,11,1,6.466653,94,9,ambiguous,2
110,11,0,45.941707,227,373,ambiguous,2
180,12,0,11.79405,21,289,ambiguous,2
619,16,1,7.338893,66,258,ambiguous,2
617,14,1,10.402062,66,258,agent,1
1279,24,1,15.036202,71,99,neither,1
359,45,0,20.238572,81,9,agent,1
1189,7,1,3.260529,208,118,ambiguous,3
315,10,1,4.428358,89,95,neither,1
62,22,0,9.911659,213,6,agent,1
1294,18,1,20.239809,70,368,agent,1
1293,13,1,11.789006,70,113,user,1
1219,8,1,29.347275,75,277,neither,1
778,29,1,7.719057,93,529,agent,1
1552,9,1,3.999181,922,582,agent,1
1288,14,1,7.504621,71,465,ambiguous,1
216,15,1,13.054294,29,517,neither,2
1401,25,0,35.389309,912,370,neither,15
33,14,1,7.38514,215,608,neither,1
211,17,0,21.662281,29,517,ambiguous,1
1132,15,0,15.126378,205,589,user,2
1412,42,1,25.746194,912,3,agent,1
1105,8,0,3.570048,203,309,neither,1
1211,27,1,8.635681,76,470,ambiguous,1
1414,42,0,16.08733,912,3,ambiguous,3
328,17,1,9.892892,83,289,agent,2
1432,12,1,6.185579,903,13,ambiguous,2
1217,8,1,2.512961,76,146,neither,1
815,16,1,15.389891,94,402,ambiguous,1
1227,11,0,12.269248,75,413,ambiguous,2
752,18,0,22.70369,91,98,agent,1
1530,12,0,10.415296,909,225,agent,2
927,13,1,3.846732,238,435,ambiguous,2
1166,24,1,12.669928,209,1,ambiguous,2
850,10,1,10.028026,220,471,neither,1
2,13,1,19.4837,216,136,neither,2
1303,17,1,87.102133,78,360,ambiguous,2
703,9,0,3.974706,99,527,ambiguous,2
64,29,0,9.921228,213,362,agent,1
940,21,1,11.54641,234,409,neither,1
63,39,0,21.101061,213,452,ambiguous,2
1310,5,1,2.984135,78,94,neither,1
520,18,0,32.827341,39,382,ambiguous,3
509,20,1,10.28436,242,131,ambiguous,1
941,10,0,9.321,234,448,neither,1
760,15,0,41.219169,226,448,agent,1
999,10,1,6.054744,48,580,ambiguous,2
92,14,1,10.544812,218,91,neither,1
763,8,0,13.612917,226,448,neither,1
819,9,1,2.658034,94,479,neither,1
498,6,1,4.907628,243,226,ambiguous,2
1209,23,0,15.956117,76,308,ambiguous,1
477,11,1,6.770953,240,10,agent,1
414,6,1,25.942945,85,375,ambiguous,2
556,7,0,10.863358,31,483,ambiguous,4
33,14,1,5.589127,215,145,neither,1
588,11,0,12.84003,37,441,agent,1
93,17,1,8.038758,218,137,ambiguous,1
889,29,1,17.018069,14,483,neither,1
1164,7,1,7.851154,209,404,neither,1
921,10,1,7.839307,18,168,neither,1
1361,8,1,9.93549,911,91,neither,1
752,18,1,22.779747,91,566,agent,1
1011,13,1,5.586221,49,265,neither,1
1179,6,1,3.216613,208,247,ambiguous,3
543,26,0,10.222742,38,284,ambiguous,1
1317,10,1,6.010223,918,156,neither,1
737,16,1,18.403943,228,383,neither,2
736,8,1,6.606575,228,383,neither,1
1140,11,1,3.36509,204,235,neither,1
739,8,1,7.886845,228,492,neither,1
712,12,0,77.974826,99,579,ambiguous,2
1333,22,0,11.94034,915,576,agent,1
1332,20,0,14.811673,915,576,neither,1
1366,16,1,21.39996,911,497,ambiguous,3
1360,9,0,9.864985,911,497,agent,1
384,9,0,21.181023,87,149,agent,1
1538,13,0,6.771212,909,305,agent,2
695,22,1,14.212779,6,366,ambiguous,2
1503,20,0,37.417695,905,125,agent,2
1075,27,0,37.958098,9,154,ambiguous,2
223,9,1,8.12306,29,126,agent,1
1005,10,0,18.648061,48,15,ambiguous,2
394,9,0,4.414718,84,467,ambiguous,2
786,17,1,18.246857,92,449,neither,1
1380,11,0,3.608939,910,487,ambiguous,2
193,8,1,3.970013,22,5,neither,1
802,14,1,6.697185,95,582,agent,1
1444,27,1,10.683066,900,240,agent,1
1145,8,1,7.611631,204,497,neither,1
1043,22,0,9.582736,41,137,ambiguous,1
271,6,1,5.496997,58,106,ambiguous,3
552,19,0,12.82263,31,309,ambiguous,2
1167,8,1,3.008535,209,261,neither,1
148,5,0,5.510143,26,3,ambiguous,2
1328,18,1,9.473257,918,145,neither,2
1153,19,1,10.611492,207,272,agent,1
622,28,0,6.864909,66,7,ambiguous,2
1439,14,1,36.222091,903,331,ambiguous,2
738,9,1,3.118679,228,260,neither,1
665,20,1,23.339272,69,369,neither,1
654,9,1,3.807389,68,472,neither,1
696,18,0,8.812653,6,387,neither,2
668,9,1,7.385169,69,369,ambiguous,2
236,19,1,17.495509,222,396,neither,1
867,12,1,7.160296,13,607,neither,1
172,12,0,12.213091,21,124,ambiguous,2
84,12,1,12.006806,211,168,agent,1
739,8,1,4.112896,228,409,neither,1
644,13,1,5.773091,67,308,ambiguous,1
55,37,0,26.399327,212,536,ambiguous,3
640,15,1,32.171796,67,404,neither,1
1411,36,0,29.98139,912,540,neither,10
355,30,1,20.689454,81,603,agent,1
446,5,1,9.942196,7,481,neither,1
183,8,1,6.153511,22,440,neither,1
599,11,1,4.612113,36,238,neither,1
35,18,1,13.048208,215,152,ambiguous,1
243,8,0,2.98213,4,245,neither,1
790,18,1,58.484631,92,521,neither,1
1554,5,1,3.608689,922,414,neither,1
769,12,0,6.497955,226,147,ambiguous,2
597,9,1,9.488103,36,168,agent,1
1096,16,1,7.249099,203,371,neither,1
1050,21,1,9.978825,41,157,neither,1
1522,6,1,3.169945,908,297,ambiguous,2
287,11,1,4.866511,55,131,neither,1
493,12,1,6.858332,243,113,ambiguous,2
349,9,0,3.248862,80,387,neither,1
121,9,1,6.035521,90,3,agent,1
1512,21,0,29.892448,905,525,agent,4
312,20,1,11.022098,89,276,agent,1
193,8,1,2.816571,22,478,neither,1
78,19,1,27.092965,211,519,agent,1
1457,18,0,21.675034,901,368,agent,1
526,12,1,15.762625,39,103,neither,1
1112,21,1,27.1061,202,381,agent,1
1257,9,1,3.007912,73,270,neither,1
1103,7,1,4.036354,203,617,ambiguous,3
769,12,1,12.762908,226,470,ambiguous,2
1051,15,1,40.858921,1,14,neither,2
1161,13,1,8.870982,207,2,agent,1
226,10,1,18.911876,222,315,user,1
1384,14,1,16.529314,910,227,ambiguous,2
507,20,1,14.627456,242,147,agent,1
700,26,1,40.14034,6,422,ambiguous,1
396,9,0,6.461174,84,265,ambiguous,2
141,9,1,48.064647,26,377,neither,1
49,18,0,28.453017,212,456,neither,2
1454,18,1,7.766654,900,269,agent,1
500,10,1,18.554179,243,403,neither,1
679,25,1,76.750073,251,401,agent,1
677,9,1,6.750168,251,584,neither,1
844,12,0,10.850298,220,2,ambiguous,2
1540,15,0,76.596456,909,360,ambiguous,3
1417,9,1,7.892035,902,464,neither,1
1545,8,0,19.063992,922,360,agent,1
825,8,1,5.074075,94,472,ambiguous,4
1339,9,0,37.726633,915,417,ambiguous,1
1089,9,1,9.70098,200,540,agent,1
1552,9,1,22.133041,922,141,agent,1
1342,17,1,14.026418,915,440,neither,1
401,14,1,6.154839,84,466,neither,1
627,25,1,7.24784,66,270,neither,1
83,14,1,10.523136,211,231,agent,2
341,9,1,9.595021,80,581,neither,1
1155,17,1,13.062795,207,244,agent,1
593,14,1,67.534331,36,579,neither,1
1497,9,1,7.025852,904,144,agent,1
400,16,1,38.482702,84,242,ambiguous,2
807,8,0,19.632908,95,133,neither,1
598,11,1,7.800483,36,154,neither,1
1030,15,1,6.463485,40,5,neither,1
604,29,1,11.052456,34,179,agent,1
1239,10,1,11.489929,74,269,neither,1
1310,5,1,2.729237,78,510,neither,1
1376,9,1,4.086978,910,166,agent,1
149,9,0,6.634284,26,593,neither,1
618,16,1,5.804558,66,304,neither,1
542,25,1,17.859383,38,455,ambiguous,2
1354,16,0,24.228848,914,603,agent,2
1356,9,1,3.260288,914,603,neither,1
618,16,1,6.722167,66,125,neither,1
752,18,1,9.98601,91,419,agent,1
803,11,0,11.860474,95,413,agent,1
744,10,1,5.308859,91,244,neither,1
1498,16,0,11.568994,904,133,agent,1
515,15,1,13.259225,242,520,neither,2
1162,14,1,29.829468,207,441,ambiguous,2
618,16,1,5.852396,66,486,neither,1
204,14,1,115.876508,23,581,neither,1
974,12,1,19.596371,232,372,neither,1
1393,8,0,8.261016,913,370,agent,1
970,8,1,7.983342,232,372,neither,1
869,15,1,43.27279,12,220,neither,1
1091,14,1,12.667646,200,538,agent,1
839,28,0,21.181559,221,366,ambiguous,2
229,17,1,9.74568,222,278,ambiguous,1
80,14,0,6.827311,211,471,agent,1
26,11,0,46.829279,217,449,ambiguous,2
185,24,0,36.535739,22,607,agent,1
1274,20,1,15.066632,72,377,agent,1
480,11,1,5.325115,240,91,agent,1
1475,9,1,16.12742,906,432,neither,1
1310,5,1,3.39974,78,458,neither,1
1530,12,0,12.381081,909,98,agent,2
177,11,1,23.370451,21,17,neither,4
1139,17,1,45.782117,204,281,agent,1
227,14,1,29.863005,222,368,user,1
408,8,0,13.881429,85,336,agent,2
14,16,1,25.428081,216,399,neither,2
977,8,0,10.864455,232,154,agent,1
1064,6,1,2.666899,1,532,ambiguous,2
1489,15,1,8.534773,904,288,ambiguous,1
1494,9,1,4.609233,904,582,agent,1
616,20,1,11.764419,34,6,ambiguous,2
76,12,1,32.597688,211,167,agent,1
678,9,0,7.465315,251,608,agent,1
217,19,1,23.925447,29,330,neither,1
749,11,0,17.944362,91,330,agent,2
834,8,1,3.360455,221,280,neither,1
677,9,0,6.028149,251,608,neither,1
142,16,1,9.868847,26,412,neither,2
1022,21,0,13.96723,49,316,agent,1
19,10,1,3.885501,217,406,neither,1
1051,15,1,6.064784,1,305,neither,2
677,9,1,3.78713,251,97,neither,1
161,7,0,14.911422,20,593,ambiguous,3
368,10,1,4.047857,86,570,neither,1
1295,13,1,11.84012,70,168,agent,1
28,10,0,7.226119,217,374,neither,1
64,29,1,5.967862,213,11,agent,1
394,9,1,7.45325,84,144,ambiguous,2
618,16,1,8.413739,66,465,neither,1
621,11,1,4.930481,66,583,neither,1
1300,15,1,37.874982,70,320,user,1
1422,11,0,16.547906,902,126,ambiguous,2
1260,5,1,5.637667,73,454,ambiguous,2
